时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-15T00:00:00.000Z,61.71,2.15,5,0.23,0.01,3,-,,65.95,-4.24,430181,,2,湘江,113.261111,28.023611,浏渭河,611K2019,长沙市浏阳市柏加镇,仙人造,RR,1
2023-04-15T00:00:00.000Z,43.03,1.25,6,-,-,3,-,,47.3,-4.27,430723,,2,洞庭湖,111.8433,29.79806,涔水,615K1001,常德市澧县梦溪镇,赵家峪,RR,5
2023-04-15T00:00:00.000Z,291.72,3.81,5,0.30,0.20,3,-,,296.0,-4.28,430523,,2,资水,111.4258,26.87761,檀江,612K0349,邵阳市邵阳县金江乡,金江,RR,2
2023-04-15T00:05:00.000Z,429.70,6.27,4,4.20,7.80,3,-,,434.0,-4.30,431026,,2,湘江,113.5178,25.57156,浙水,611K0755,郴州市汝城县高桥镇,山店江,RR,1
2023-04-15T00:00:00.000Z,269.20,6.44,4,6.00,6.00,3,-,,273.5,-4.30,433125,,2,沅水,109.6938,28.60397,涂乍河,613K0409,湘西州保靖县水银乡,长潭,RR,3
2023-04-15T00:00:00.000Z,76.20,3.8,5,0.60,0.50,3,-,,80.53,-4.33,430212,101.0,2,湘江,113.120583,27.303056,朱亭港,611K1506,株洲市渌口区朱亭镇,龙潭,RR,1
2023-04-15T00:00:00.000Z,100.47,15.05,5,0.30,-,3,-,,105.0,-4.53,430421,93.0,2,湘江,112.493694,27.205444,欧江桥,611K1141,衡阳市衡阳县石市乡高湾村,斜陂堰,RR,1
2023-04-15T00:00:00.000Z,98.66,2.9,6,-,-,3,-,,103.2,-4.54,430726,11.0,2,沅水,111.391278,29.360111,东溪,613K2301,常德市石门县蒙泉镇,寺垭,RR,3
2023-04-15T08:00:00.000Z,276.45,87.7,,44.42,-,4,281,,281.0,-4.55,431228,8182.0,2,沅水,109.646556,27.490583,舞水,61306250,怀化市芷江侗族自治县竹坪铺乡,蟒塘溪,RR,3
2023-04-15T00:00:00.000Z,477.40,23.84,4,13.18,18.49,3,-,,482.0,-4.60,431026,,2,湘江,113.697,25.771,淇江,611K0751,郴州市汝城县南洞乡,渔仔口,RR,1
2023-04-15T00:00:00.000Z,146.50,2.79,5,3.40,1.20,2,-,,151.11,-4.61,430626,,2,洞庭湖,113.989167,28.671667,汨罗江,615K0407,岳阳市平江县长寿镇,黄金堰,RR,5
2023-04-15T00:00:00.000Z,114.10,5.58,5,1.93,0.20,3,-,,118.74,-4.64,430223,56.0,2,湘江,113.3088,27.16436,浊江,611K1565,株洲市攸县大同桥镇,黄沙桥,RR,1
2023-04-15T00:00:00.000Z,119.18,5.09,5,1.37,1.14,3,-,,123.85,-4.67,430181,,2,湘江,113.528056,28.293611,捞刀河,611K2011,长沙市浏阳市淳口镇南康水库,南康,RR,1
2023-04-15T00:00:00.000Z,117.24,26.19,5,0.65,0.30,3,124.6,1980-08-01T16:00:00.000Z,122.0,-4.76,430726,70.0,2,澧水,111.377278,29.417639,道水南源,61402750,常德市石门县蒙泉镇,蒙泉,RR,4
2023-04-15T00:00:00.000Z,189.53,5.963,5,9.55,0.07,3,-,,194.32,-4.79,430426,,2,湘江,111.9212,26.89153,双江口,611K1303,衡阳市祁东县黄土铺镇,上福冲,RR,1
