日期,站名,时间,水位,流量
2023-03-08,迁江,03-08 08:00,60.28,711
2023-03-08,梧州（四）,03-08 08:00,1.97,1610
2023-03-08,高要,03-08 08:00,0.23,3970
2023-03-08,柳州,03-08 08:00,77.57,218
2023-03-08,金鸡（二）,03-08 08:00,27.77,48
2023-03-08,南宁（三）,03-08 08:00,66.94,464
2023-03-08,贵港,03-08 08:00,31.34,NaN
2023-03-08,石角,03-08 08:00,0.22,478
2023-03-09,迁江,02-04 08:00,59.670,503.000
2023-03-09,武宣,02-04 08:00,51.770,1520.000
2023-03-09,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-09,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-09,高要,02-04 08:00,0.570,-433.000
2023-03-09,柳州,02-04 08:00,77.000,143.000
2023-03-09,对亭,02-04 08:00,71.570,20.500
2023-03-09,太平,02-04 08:00,33.970,72.900
2023-03-09,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-09,南宁（三）,02-04 08:00,67.050,383.000
2023-03-09,贵港,02-04 08:00,31.240,282.000
2023-03-09,石角,02-04 08:00,0.620,320.000
2023-03-09,天河(二),02-04 08:00,0.860,2360.000
2023-03-09,冯马庙(二),02-04 08:00,0.440,-
2023-03-09,大虎,02-04 08:00,0.300,-
2023-03-10,迁江,03-10 08:00,63.74,1660
2023-03-10,梧州（四）,03-10 08:00,1.85,1390
2023-03-10,高要,03-10 08:00,0.17,2000
2023-03-10,柳州,03-10 08:00,77.47,230
2023-03-10,金鸡（二）,03-10 08:00,27.62,36
2023-03-10,南宁（三）,03-10 08:00,66.98,403
2023-03-10,贵港,03-10 08:00,31.25,318
2023-03-10,石角,03-10 08:00,0.29,404
2023-03-11,迁江,03-11 08:00,59.46,515
2023-03-11,梧州（四）,03-11 08:00,1.61,1090
2023-03-11,高要,03-11 08:00,0.21,423
2023-03-11,柳州,03-11 08:00,77.41,105
2023-03-11,金鸡（二）,03-11 08:00,27.78,49
2023-03-11,南宁（三）,03-11 08:00,66.99,443
2023-03-11,贵港,03-11 08:00,31.30,163
2023-03-11,石角,03-11 08:00,0.45,372
